Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
Sinfonia En Périgord,24000,Périgueux,Nouvelle-Aquitaine,1990,Musique,www.sinfonia-en-perigord.com/,45.1918704873,0.711825549847,juin,septembre
Les Nuits Musicales De Bazoches,58190,Bazoches,Bourgogne-Franche-Comté,1994,Musique,www.lesnuitsmusicalesdebazoches,47.368858753,3.79377524452,juin,septembre
Cinémondes,62600,Berck-sur-Mer,Hauts-de-France,2005,"Cinéma, audiovisuel",www.kdiffusion.com,50.4141574341,1.58229663833,septembre,décembre
Festival De Caves,25000,Besançon,Bourgogne-Franche-Comté,2014,Spectacle vivant,https://www.festivaldecaves.fr/,47.2553872249,6.01948696494,janvier,juin
Visa Pour L'Image,66000,Perpignan,Occitanie,1989,"Arts visuels, arts numériques",www.visapourlimage.com,42.6965954131,2.89936953979,juin,septembre
Petites Fugues Littéraires En Franche-Comté,25000,Besançon,Bourgogne-Franche-Comté,2001,"Livre, littérature",https://www.livre-bourgognefranchecomte.fr/,47.2553872249,6.01948696494,juin,septembre
Festival Bd De Perros Guirec,22700,Perros-Guirec,Bretagne,1994,"Livre, littérature",http://www.bdperros.com,48.8094393417,-3.46769227891,janvier,juin
Dax Motors N'Blues,40100,Dax,Nouvelle-Aquitaine,2009,Musique,http://www.dmbf.fr/,43.7006746973,-1.06014429759,juin,septembre
Les Toiles Filantes,33600,Pessac,Nouvelle-Aquitaine,2004,"Cinéma, audiovisuel",lestoilesfilantes.org,44.7915990521,-0.676303166277,janvier,juin
La Mekanik Du Rire,31820,Pibrac,Occitanie,2018,Spectacle vivant,www.lamekanikdurire.com,43.6274385363,1.26139475262,septembre,décembre
Charivari,63160,Billom,Auvergne-Rhône-Alpes,2003,Spectacle vivant,www.billomrenaissance.com,45.7251184657,3.32304115809,juin,septembre
Festivoce,20220,Pigna,Corse,1991,Musique,www.voce.corsica,42.599340833,8.90040924261,juin,septembre
Un Week-End Avec Elles,81450,Blaye-Les-Mines,Occitanie,1999,Spectacle vivant,https://unweekendavecelles.net/,44.033065795,2.14278920127,janvier,juin
"Festival Chapeau Bas, L'Artiste !",84480,Bonnieux,Provence-Alpes-Côte d'Azur,2010,Pluridisciplinaire,https://www.facebook.com/FestivalChapeauBasLArtiste/,43.8270930656,5.31457906958,janvier,juin
Monde En Vues,97110,Pointe-à-Pitre,Guadeloupe,2014,"Cinéma, audiovisuel",http://festival-droits-de-lhomme.org/festival-monde-vues/,16.2386006963,-61.5357180881,septembre,décembre
Jamaican Docks Day,59140,Dunkerque,Hauts-de-France,2013,Musique,4ecluses.com,51.0307229078,2.33752414095,juin,septembre
Les Fadas Du Barouf,17800,Pons,Nouvelle-Aquitaine,2004,Musique,http://fadasdubarouf.wixsite.com/lefestival,45.5770487335,-0.557449237102,juin,septembre
Festival Fanfares !,29200,Brest,Bretagne,2004,Musique,http://fanfare.zebaliz.blog.free.fr/,48.4004997828,-4.5027907853,janvier,juin
