Region,Number_of_Festivals
Nouvelle-Aquitaine,808
Occitanie,651
Auvergne-Rhône-Alpes,587
Provence-Alpes-Côte d'Azur,576
Île-de-France,459
Bretagne,364
Grand Est,356
Bourgogne-Franche-Comté,348
Hauts-de-France,328
Centre-Val de Loire,304
Pays de la Loire,279
Normandie,249
Corse,56
Guadeloupe,34
La Réunion,30
Guyane,15
Martinique,14
Mayotte,6
Polynésie française,1
